country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","24-08-2026 11:00:00",23.221714,72.654328,PM2.5,31,63,44
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","24-08-2026 11:00:00",16.7602,77.1428,NH3,0,1,0
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","24-08-2026 11:00:00",16.7602,77.1428,OZONE,32,36,34
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","24-08-2026 11:00:00",10.073232,76.302765,PM2.5,NA,NA,NA
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","24-08-2026 11:00:00",10.073232,76.302765,SO2,NA,NA,NA
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","24-08-2026 11:00:00",10.073232,76.302765,CO,45,46,46
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","24-08-2026 11:00:00",11.875,75.3732,SO2,0,0,0
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","24-08-2026 11:00:00",11.875,75.3732,OZONE,28,29,28
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","24-08-2026 11:00:00",8.5149093,76.9435879,CO,3,10,7
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","24-08-2026 11:00:00",8.5637,76.8865,PM10,27,105,59
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","24-08-2026 11:00:00",10.5324,76.2159,PM2.5,46,57,52
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","24-08-2026 11:00:00",10.5324,76.2159,NO2,8,10,9
India,Ladakh,Leh,"Skara Yokma, Leh - LPCC","24-08-2026 11:00:00",34.147096,77.55709,PM2.5,1,33,11
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","24-08-2026 11:00:00",23.210494,77.425409,PM10,26,93,52
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","24-08-2026 11:00:00",23.264759,77.381568,NO2,11,46,19
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","24-08-2026 11:00:00",22.7084,75.8815,NO2,NA,NA,NA
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","24-08-2026 11:00:00",22.7084,75.8815,SO2,2,3,2
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","24-08-2026 11:00:00",23.168606,79.932247,PM2.5,19,93,52
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","24-08-2026 11:00:00",23.168606,79.932247,PM10,NA,NA,NA
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","24-08-2026 11:00:00",23.168606,79.932247,NO2,39,48,43
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","24-08-2026 11:00:00",23.168606,79.932247,NH3,4,5,5
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","24-08-2026 11:00:00",23.163174,79.973061,PM2.5,15,47,31
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","24-08-2026 11:00:00",23.163174,79.973061,CO,38,47,42
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","24-08-2026 11:00:00",23.163174,79.973061,OZONE,12,30,20
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","24-08-2026 11:00:00",23.218135,79.95777,OZONE,11,29,17
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","24-08-2026 11:00:00",23.50016,80.23284,PM2.5,16,59,35
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","24-08-2026 11:00:00",23.50016,80.23284,NH3,2,3,3
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","24-08-2026 11:00:00",23.50016,80.23284,CO,18,33,28
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","24-08-2026 11:00:00",23.50016,80.23284,OZONE,14,28,18
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","24-08-2026 11:00:00",24.2613009,80.7231783,NO2,12,17,15
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","24-08-2026 11:00:00",23.10844,77.511428,CO,16,38,21
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","24-08-2026 11:00:00",23.10844,77.511428,OZONE,25,36,29
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","24-08-2026 11:00:00",23.233584,77.400574,NO2,12,30,18
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","24-08-2026 11:00:00",23.233584,77.400574,OZONE,18,27,23
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","24-08-2026 11:00:00",23.81748678,79.446246,NH3,NA,NA,NA
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","24-08-2026 11:00:00",23.81748678,79.446246,SO2,43,57,51
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","24-08-2026 11:00:00",22.9682591,76.064118,NH3,2,3,3
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","24-08-2026 11:00:00",22.9682591,76.064118,CO,17,25,21
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","24-08-2026 11:00:00",26.200388,78.147714,PM2.5,8,28,16
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","24-08-2026 11:00:00",26.200388,78.147714,NH3,3,5,4
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","24-08-2026 11:00:00",26.203442,78.193251,NO2,30,51,44
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","24-08-2026 11:00:00",26.203442,78.193251,NH3,2,3,2
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","24-08-2026 11:00:00",26.259242,78.216432,PM10,20,114,54
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","24-08-2026 11:00:00",26.259242,78.216432,NO2,29,57,42
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","24-08-2026 11:00:00",22.678,75.8559,NH3,0,3,1
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","24-08-2026 11:00:00",22.431,75.5213,PM2.5,35,64,50
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","24-08-2026 11:00:00",22.7084,75.8815,PM2.5,2,41,29
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","24-08-2026 11:00:00",30.1480566,77.2893471,NO2,11,21,16
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","24-08-2026 11:00:00",30.1480566,77.2893471,SO2,10,15,12
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","24-08-2026 11:00:00",30.943887,76.801991,PM2.5,8,227,52
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","24-08-2026 11:00:00",30.943887,76.801991,PM10,10,274,86
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","24-08-2026 11:00:00",30.943887,76.801991,NO2,3,21,10
India,"Jammu and Kashmir",Srinagar,"Rajbagh, Srinagar - JKPCC","24-08-2026 11:00:00",34.066206,74.81982,PM2.5,17,30,22
